expense_id,employee_id,dept,avg_monthly,category,amount,policy_limit,vendor,date,day_of_week,is_weekend,payment_mode,has_receipt,receipt_mismatch,is_duplicate,amount_over_limit,exceed_ratio,amount_vs_avg,recent_submissions,flag_count,flags,is_fraud
EXP-00014,E014,Marketing,4888,Entertainment,2768.26,4000,IRCTC,2025-05-29,3,0,UPI,1,0,0,0,0.6921,0.5663,11,0,,0
EXP-00015,E015,Finance,2600,Travel,8722.86,15000,IRCTC,2025-05-02,4,0,Debit Card,1,0,0,0,0.5815,3.3549,1,0,,0
EXP-00016,E016,Sales,4041,Entertainment,2406.96,4000,Flipkart,2025-04-18,4,0,Credit Card,1,0,0,0,0.6017,0.5956,3,0,,0
EXP-00017,E017,Marketing,9041,Food,441.21,2000,OYO Rooms,2025-04-25,4,0,Cash,1,0,0,0,0.2206,0.0488,2,0,,0
EXP-00018,E018,Finance,3478,Office Supplies,1341.01,5000,MakeMyTrip,2025-06-13,4,0,UPI,1,0,0,0,0.2682,0.3856,4,0,,0
EXP-00019,E019,HR,8349,Office Supplies,1170.59,5000,Swiggy,2025-07-08,1,0,Credit Card,1,0,0,0,0.2341,0.1402,7,0,,0
EXP-00020,E020,Sales,5943,Travel,7603.58,15000,OYO Rooms,2025-05-18,6,1,Cash,1,0,0,0,0.5069,1.2794,3,1,Weekend Claim,0
EXP-00021,E021,Operations,5461,Entertainment,1131.97,4000,Swiggy,2025-06-08,6,1,UPI,1,0,0,0,0.283,0.2073,6,1,Weekend Claim,0
EXP-00022,E022,Finance,9989,Hotel,15022.01,8000,Swiggy,2025-05-16,4,0,Debit Card,1,0,0,1,1.8778,1.5039,11,1,Exceeds Policy Limit,1
EXP-00023,E023,Sales,8873,Travel,1990.54,15000,Amazon,2025-06-02,0,0,UPI,1,0,0,0,0.1327,0.2243,4,0,,0
EXP-00024,E024,Sales,3981,Hotel,5286.31,8000,MakeMyTrip,2025-06-09,0,0,UPI,1,0,0,0,0.6608,1.3279,5,0,,0
EXP-00025,E025,Operations,5798,Office Supplies,2646.1,5000,Zomato,2025-05-17,5,1,Cash,1,0,0,0,0.5292,0.4564,1,1,Weekend Claim,0
EXP-00026,E026,Operations,8439,Office Supplies,1944.12,5000,Swiggy,2025-04-20,6,1,Debit Card,1,0,0,0,0.3888,0.2304,1,1,Weekend Claim,0
EXP-00027,E027,Marketing,2337,Food,1035.2,2000,Swiggy,2025-05-23,4,0,Debit Card,1,0,0,0,0.5176,0.443,2,0,,0
EXP-00028,E028,Sales,8360,Entertainment,691.53,4000,OYO Rooms,2025-06-14,5,1,Cash,1,0,0,0,0.1729,0.0827,7,1,Weekend Claim,0
EXP-00029,E029,Finance,2492,Food,2445.92,2000,Uber,2025-05-29,3,0,UPI,0,0,1,1,1.223,0.9815,17,4,Exceeds Policy Limit|Missing Receipt|Duplicate Claim|Unusually Frequent,1
EXP-00030,E030,Marketing,2064,Hotel,13320.84,8000,Swiggy,2025-06-26,3,0,Cash,0,1,0,1,1.6651,6.4539,19,4,Exceeds Policy Limit|Missing Receipt|Receipt Mismatch|Unusually Frequent,1
EXP-00031,E031,Engineering,7463,Fuel,1602.45,3000,OYO Rooms,2025-06-14,5,1,Cash,1,0,0,0,0.5342,0.2147,7,1,Weekend Claim,0
EXP-00032,E032,HR,7618,Travel,3244.22,15000,OYO Rooms,2025-05-15,3,0,UPI,1,0,0,0,0.2163,0.4259,5,0,,0
EXP-00033,E033,HR,6514,Food,245.75,2000,OYO Rooms,2025-05-25,6,1,Cash,1,0,0,0,0.1229,0.0377,2,1,Weekend Claim,0
EXP-00034,E034,Marketing,5561,Entertainment,2011.25,4000,Amazon,2025-07-08,1,0,Cash,1,0,0,0,0.5028,0.3617,5,0,,0
EXP-00035,E035,Engineering,5099,Fuel,2194.55,3000,Uber,2025-05-30,4,0,Debit Card,1,0,0,0,0.7315,0.4304,3,0,,0
EXP-00036,E036,Finance,9073,Fuel,4376.82,3000,Dmart,2025-06-22,6,1,Credit Card,1,1,0,1,1.4589,0.4824,14,4,Exceeds Policy Limit|Weekend Claim|Receipt Mismatch|Unusually Frequent,1
EXP-00037,E037,Operations,7847,Food,1643.97,2000,Flipkart,2025-06-23,0,0,Debit Card,1,0,0,0,0.822,0.2095,7,0,,0
EXP-00038,E038,Finance,7991,Office Supplies,718.23,5000,Ola,2025-07-15,1,0,Debit Card,1,0,0,0,0.1436,0.0899,7,0,,0
EXP-00039,E039,HR,7056,Entertainment,681.62,4000,Amazon,2025-04-18,4,0,Credit Card,1,0,0,0,0.1704,0.0966,5,0,,0
EXP-00040,E040,Operations,4690,Office Supplies,3267.11,5000,OYO Rooms,2025-05-14,2,0,Credit Card,1,0,0,0,0.6534,0.6966,5,0,,0
EXP-00041,E041,Sales,2502,Hotel,2286.39,8000,Amazon,2025-06-30,0,0,UPI,1,0,0,0,0.2858,0.9138,3,0,,0
EXP-00042,E042,HR,6488,Travel,5346.15,15000,MakeMyTrip,2025-05-08,3,0,UPI,1,0,0,0,0.3564,0.824,7,0,,0
EXP-00043,E043,Sales,9721,Entertainment,3338.53,4000,Dmart,2025-05-08,3,0,UPI,1,0,0,0,0.8346,0.3434,4,0,,0
EXP-00044,E044,HR,9742,Office Supplies,2275.52,5000,Amazon,2025-06-13,4,0,Cash,1,0,0,0,0.4551,0.2336,6,0,,0
EXP-00045,E045,Engineering,2563,Food,1123.78,2000,Ola,2025-05-08,3,0,Debit Card,1,0,0,0,0.5619,0.4385,4,0,,0
EXP-00046,E046,Finance,3757,Food,1179.23,2000,MakeMyTrip,2025-06-22,6,1,Debit Card,1,0,0,0,0.5896,0.3139,9,1,Weekend Claim,1
EXP-00047,E047,Marketing,3678,Hotel,5605.7,8000,Swiggy,2025-07-04,4,0,Debit Card,1,0,0,0,0.7007,1.5241,2,0,,0
EXP-00048,E048,Finance,8668,Travel,29476.07,15000,Ola,2025-05-03,5,1,Credit Card,1,0,0,1,1.9651,3.4006,19,3,Exceeds Policy Limit|Weekend Claim|Unusually Frequent,1
EXP-00049,E049,HR,5314,Hotel,4509.52,8000,Dmart,2025-04-20,6,1,Debit Card,1,0,0,0,0.5637,0.8486,1,1,Weekend Claim,0
EXP-00050,E050,Sales,4729,Office Supplies,3668.28,5000,Ola,2025-04-17,3,0,Cash,1,0,0,0,0.7337,0.7757,6,0,,0
EXP-00051,E001,Finance,2860,Travel,7080.42,15000,Ola,2025-05-19,0,0,Credit Card,1,0,0,0,0.472,2.4757,5,0,,0
EXP-00052,E002,Marketing,5092,Hotel,6064.83,8000,Amazon,2025-06-10,1,0,Credit Card,1,0,0,0,0.7581,1.1911,1,0,,0
EXP-00053,E003,HR,7334,Travel,26377.24,15000,IRCTC,2025-06-08,6,1,Cash,1,0,0,1,1.7585,3.5966,14,3,Exceeds Policy Limit|Weekend Claim|Unusually Frequent,1
EXP-00054,E004,Marketing,5171,Entertainment,2524.12,4000,Flipkart,2025-06-16,0,0,UPI,1,0,1,0,0.631,0.4881,11,1,Duplicate Claim,1
EXP-00055,E005,HR,3685,Office Supplies,2751.04,5000,Swiggy,2025-05-06,1,0,UPI,0,0,0,0,0.5502,0.7466,11,1,Missing Receipt,1
EXP-00056,E006,Finance,9581,Office Supplies,843.89,5000,Zomato,2025-07-04,4,0,Cash,1,0,0,0,0.1688,0.0881,1,0,,0
EXP-00057,E007,Finance,8420,Office Supplies,3321.4,5000,Uber,2025-06-23,0,0,Credit Card,1,0,0,0,0.6643,0.3945,1,0,,0
EXP-00058,E008,Sales,6117,Office Supplies,9494.67,5000,Flipkart,2025-04-27,6,1,UPI,1,0,1,1,1.8989,1.5522,19,4,Exceeds Policy Limit|Weekend Claim|Duplicate Claim|Unusually Frequent,1
EXP-00059,E009,Engineering,9728,Food,1127.33,2000,IRCTC,2025-07-09,2,0,UPI,1,0,0,0,0.5637,0.1159,6,0,,0
EXP-00060,E010,Sales,4047,Travel,10745.93,15000,Amazon,2025-05-11,6,1,UPI,1,0,0,0,0.7164,2.6553,5,1,Weekend Claim,0
EXP-00061,E011,Operations,9101,Hotel,4287.83,8000,Zomato,2025-05-12,0,0,Credit Card,1,0,0,0,0.536,0.4711,6,0,,0
EXP-00062,E012,HR,3899,Travel,8158.75,15000,Swiggy,2025-06-10,1,0,Credit Card,1,0,0,0,0.5439,2.0925,6,0,,0
EXP-00063,E013,Engineering,5202,Fuel,1556.41,3000,Swiggy,2025-05-03,5,1,Cash,1,0,0,0,0.5188,0.2992,2,1,Weekend Claim,0
EXP-00064,E014,Marketing,4888,Entertainment,4827.74,4000,MakeMyTrip,2025-05-16,4,0,Cash,1,1,1,1,1.2069,0.9877,14,4,Exceeds Policy Limit|Receipt Mismatch|Duplicate Claim|Unusually Frequent,1
EXP-00065,E015,Finance,2600,Office Supplies,1390.65,5000,MakeMyTrip,2025-05-14,2,0,Credit Card,1,0,0,0,0.2781,0.5349,4,0,,0
EXP-00066,E016,Sales,4041,Travel,4015.45,15000,Amazon,2025-07-10,3,0,Debit Card,1,0,0,0,0.2677,0.9937,2,0,,0
EXP-00067,E017,Marketing,9041,Entertainment,3173.93,4000,Swiggy,2025-06-10,1,0,Debit Card,1,0,0,0,0.7935,0.3511,3,0,,0
EXP-00068,E018,Finance,3478,Travel,7384.85,15000,MakeMyTrip,2025-05-28,2,0,Credit Card,1,0,0,0,0.4923,2.1233,6,0,,0
EXP-00069,E019,HR,8349,Entertainment,2152.94,4000,Flipkart,2025-06-30,0,0,Cash,1,0,0,0,0.5382,0.2579,7,0,,0
EXP-00070,E020,Sales,5943,Fuel,2457.08,3000,IRCTC,2025-06-30,0,0,Debit Card,1,0,0,0,0.819,0.4134,6,0,,0
EXP-00071,E021,Operations,5461,Office Supplies,1540.18,5000,IRCTC,2025-06-10,1,0,UPI,1,0,0,0,0.308,0.282,2,0,,0
EXP-00072,E022,Finance,9989,Fuel,2651.97,3000,Zomato,2025-06-29,6,1,Credit Card,1,0,1,0,0.884,0.2655,12,2,Weekend Claim|Duplicate Claim,1
EXP-00073,E023,Sales,8873,Fuel,909.65,3000,Swiggy,2025-07-03,3,0,Credit Card,1,0,0,0,0.3032,0.1025,6,0,,0
EXP-00074,E024,Sales,3981,Entertainment,3249.4,4000,Flipkart,2025-05-08,3,0,UPI,1,0,0,0,0.8124,0.8162,7,0,,0
EXP-00075,E025,Operations,5798,Food,1599.09,2000,IRCTC,2025-07-11,4,0,Credit Card,1,0,0,0,0.7995,0.2758,7,0,,0
EXP-00076,E026,Operations,8439,Entertainment,2831.66,4000,Amazon,2025-05-28,2,0,UPI,1,0,0,0,0.7079,0.3355,3,0,,0
EXP-00077,E027,Marketing,2337,Travel,12411.54,15000,MakeMyTrip,2025-06-19,3,0,UPI,1,0,0,0,0.8274,5.3109,1,0,,0
EXP-00078,E028,Sales,8360,Travel,6166.72,15000,Uber,2025-07-15,1,0,UPI,1,0,0,0,0.4111,0.7376,5,0,,0
EXP-00079,E029,Finance,2492,Fuel,2768.83,3000,MakeMyTrip,2025-06-09,0,0,Credit Card,1,0,0,0,0.9229,1.1111,10,0,,0
EXP-00080,E030,Marketing,2064,Entertainment,7561.59,4000,Uber,2025-06-14,5,1,UPI,0,1,1,1,1.8904,3.6636,15,6,Exceeds Policy Limit|Weekend Claim|Missing Receipt|Receipt Mismatch|Duplicate Claim|Unusually Frequent,1
EXP-00081,E031,Engineering,7463,Food,980.46,2000,Ola,2025-07-13,6,1,Debit Card,1,0,0,0,0.4902,0.1314,3,1,Weekend Claim,0
EXP-00082,E032,HR,7618,Travel,7708.95,15000,Flipkart,2025-07-11,4,0,Credit Card,1,0,0,0,0.5139,1.0119,6,0,,0
EXP-00083,E033,HR,6514,Office Supplies,2826.16,5000,Swiggy,2025-05-11,6,1,Cash,1,0,0,0,0.5652,0.4339,3,1,Weekend Claim,0
EXP-00084,E034,Marketing,5561,Entertainment,2251.79,4000,Ola,2025-06-08,6,1,UPI,1,0,0,0,0.5629,0.4049,2,1,Weekend Claim,0
EXP-00085,E035,Engineering,5099,Entertainment,2064.45,4000,Ola,2025-05-26,0,0,Debit Card,1,0,0,0,0.5161,0.4049,7,0,,0
EXP-00086,E036,Finance,9073,Travel,28141.91,15000,IRCTC,2025-07-11,4,0,Credit Card,0,0,0,1,1.8761,3.1017,17,3,Exceeds Policy Limit|Missing Receipt|Unusually Frequent,1
EXP-00087,E037,Operations,7847,Food,1353.38,2000,Ola,2025-04-23,2,0,UPI,1,0,0,0,0.6767,0.1725,5,0,,0
EXP-00088,E038,Finance,7991,Office Supplies,1802.8,5000,Swiggy,2025-06-03,1,0,Cash,1,0,0,0,0.3606,0.2256,3,0,,0
EXP-00089,E039,HR,7056,Travel,6676.34,15000,OYO Rooms,2025-04-27,6,1,Debit Card,1,0,0,0,0.4451,0.9462,7,1,Weekend Claim,0
EXP-00090,E040,Operations,4690,Fuel,709.23,3000,Swiggy,2025-05-21,2,0,Debit Card,1,0,0,0,0.2364,0.1512,1,0,,0
EXP-00091,E041,Sales,2502,Hotel,3891.42,8000,Dmart,2025-06-14,5,1,Cash,1,0,0,0,0.4864,1.5553,2,1,Weekend Claim,0
EXP-00092,E042,HR,6488,Hotel,5730.74,8000,Dmart,2025-04-25,4,0,Credit Card,1,0,0,0,0.7163,0.8833,4,0,,0
EXP-00093,E043,Sales,9721,Entertainment,666.11,4000,Flipkart,2025-07-15,1,0,Debit Card,1,0,0,0,0.1665,0.0685,5,0,,0
EXP-00094,E044,HR,9742,Food,1541.33,2000,Dmart,2025-05-28,2,0,Credit Card,1,0,0,0,0.7707,0.1582,6,0,,0
EXP-00095,E045,Engineering,2563,Hotel,1035.87,8000,OYO Rooms,2025-05-30,4,0,Cash,1,0,0,0,0.1295,0.4042,1,0,,0
EXP-00096,E046,Finance,3757,Entertainment,4704.26,4000,OYO Rooms,2025-05-25,6,1,UPI,0,0,0,1,1.1761,1.2521,15,4,Exceeds Policy Limit|Weekend Claim|Missing Receipt|Unusually Frequent,1
EXP-00097,E047,Marketing,3678,Food,1339.93,2000,Dmart,2025-04-29,1,0,UPI,1,0,0,0,0.67,0.3643,2,0,,0
EXP-00098,E048,Finance,8668,Hotel,12631.22,8000,Swiggy,2025-06-28,5,1,Cash,1,0,0,1,1.5789,1.4572,10,2,Exceeds Policy Limit|Weekend Claim,1
EXP-00099,E049,HR,5314,Travel,9795.81,15000,Uber,2025-06-18,2,0,Credit Card,1,0,0,0,0.6531,1.8434,2,0,,0
EXP-00100,E050,Sales,4729,Travel,3878.79,15000,Flipkart,2025-04-17,3,0,Credit Card,1,0,0,0,0.2586,0.8202,6,0,,0
EXP-00101,E001,Finance,2860,Office Supplies,2725.97,5000,Swiggy,2025-05-09,4,0,Credit Card,1,0,0,0,0.5452,0.9531,2,0,,0
EXP-00102,E002,Marketing,5092,Office Supplies,2298.43,5000,IRCTC,2025-04-21,0,0,Debit Card,1,0,0,0,0.4597,0.4514,2,0,,0
EXP-00103,E003,HR,7334,Travel,12512.33,15000,Amazon,2025-05-18,6,1,Credit Card,0,0,0,0,0.8342,1.7061,13,3,Weekend Claim|Missing Receipt|Unusually Frequent,1
EXP-00104,E004,Marketing,5171,Travel,27986.04,15000,Uber,2025-05-11,6,1,Credit Card,0,0,1,1,1.8657,5.4121,15,5,Exceeds Policy Limit|Weekend Claim|Missing Receipt|Duplicate Claim|Unusually Frequent,1
EXP-00105,E005,HR,3685,Hotel,11664.56,8000,OYO Rooms,2025-05-02,4,0,Credit Card,1,1,0,1,1.4581,3.1654,13,3,Exceeds Policy Limit|Receipt Mismatch|Unusually Frequent,1
EXP-00106,E006,Finance,9581,Entertainment,912.66,4000,Flipkart,2025-05-26,0,0,UPI,1,0,0,0,0.2282,0.0953,6,0,,0
EXP-00107,E007,Finance,8420,Hotel,4229.68,8000,Amazon,2025-05-26,0,0,UPI,1,0,0,0,0.5287,0.5023,5,0,,0
EXP-00108,E008,Sales,6117,Food,2406.71,2000,Amazon,2025-04-17,3,0,UPI,1,1,0,1,1.2034,0.3934,13,3,Exceeds Policy Limit|Receipt Mismatch|Unusually Frequent,1
EXP-00109,E009,Engineering,9728,Hotel,6392.09,8000,Swiggy,2025-04-30,2,0,Credit Card,1,0,0,0,0.799,0.6571,3,0,,0
EXP-00110,E010,Sales,4047,Entertainment,1409.81,4000,Uber,2025-07-06,6,1,UPI,1,0,0,0,0.3525,0.3484,5,1,Weekend Claim,0
EXP-00111,E011,Operations,9101,Fuel,753.89,3000,Zomato,2025-06-06,4,0,Credit Card,1,0,0,0,0.2513,0.0828,2,0,,0
EXP-00112,E012,HR,3899,Office Supplies,510.17,5000,IRCTC,2025-07-07,0,0,UPI,1,0,0,0,0.102,0.1308,3,0,,0
EXP-00113,E013,Engineering,5202,Hotel,2893.21,8000,Ola,2025-05-28,2,0,UPI,1,0,0,0,0.3617,0.5562,5,0,,0
EXP-00114,E014,Marketing,4888,Office Supplies,4538.08,5000,Flipkart,2025-06-22,6,1,Credit Card,0,1,0,0,0.9076,0.9284,15,4,Weekend Claim|Missing Receipt|Receipt Mismatch|Unusually Frequent,1
EXP-00115,E015,Finance,2600,Entertainment,2798.61,4000,Amazon,2025-06-11,2,0,Credit Card,1,0,0,0,0.6997,1.0764,5,0,,0
EXP-00116,E016,Sales,4041,Hotel,4791.18,8000,Zomato,2025-06-20,4,0,Credit Card,1,0,0,0,0.5989,1.1856,6,0,,0
EXP-00117,E017,Marketing,9041,Office Supplies,2706.15,5000,IRCTC,2025-06-28,5,1,UPI,1,0,0,0,0.5412,0.2993,7,1,Weekend Claim,0
EXP-00118,E018,Finance,3478,Hotel,4544.61,8000,MakeMyTrip,2025-06-23,0,0,Credit Card,1,0,0,0,0.5681,1.3067,7,0,,0
EXP-00119,E019,HR,8349,Travel,11620.21,15000,Amazon,2025-05-11,6,1,Debit Card,1,0,0,0,0.7747,1.3918,6,1,Weekend Claim,0
EXP-00120,E020,Sales,5943,Hotel,4057.1,8000,Swiggy,2025-05-07,2,0,Cash,1,0,0,0,0.5071,0.6827,6,0,,0
EXP-00121,E021,Operations,5461,Hotel,2809.43,8000,MakeMyTrip,2025-05-13,1,0,Debit Card,1,0,0,0,0.3512,0.5145,4,0,,0
EXP-00122,E022,Finance,9989,Entertainment,2546.68,4000,OYO Rooms,2025-05-18,6,1,UPI,0,0,0,0,0.6367,0.2549,11,2,Weekend Claim|Missing Receipt,1
EXP-00123,E023,Sales,8873,Food,940.97,2000,OYO Rooms,2025-05-03,5,1,UPI,1,0,0,0,0.4705,0.106,1,1,Weekend Claim,0
EXP-00124,E024,Sales,3981,Office Supplies,914.87,5000,IRCTC,2025-04-19,5,1,Cash,1,0,0,0,0.183,0.2298,4,1,Weekend Claim,0
EXP-00125,E025,Operations,5798,Office Supplies,2524.48,5000,Zomato,2025-06-17,1,0,Debit Card,1,0,0,0,0.5049,0.4354,7,0,,0
EXP-00126,E026,Operations,8439,Office Supplies,3200.14,5000,Dmart,2025-06-10,1,0,Cash,1,0,0,0,0.64,0.3792,4,0,,0
EXP-00127,E027,Marketing,2337,Hotel,2874.18,8000,Dmart,2025-07-05,5,1,Debit Card,1,0,0,0,0.3593,1.2299,6,1,Weekend Claim,0
EXP-00128,E028,Sales,8360,Entertainment,1082.05,4000,Dmart,2025-06-23,0,0,UPI,1,0,0,0,0.2705,0.1294,7,0,,0
EXP-00129,E029,Finance,2492,Hotel,8930.39,8000,Zomato,2025-05-17,5,1,Debit Card,1,0,0,1,1.1163,3.5836,19,3,Exceeds Policy Limit|Weekend Claim|Unusually Frequent,1
EXP-00130,E030,Marketing,2064,Fuel,2117.82,3000,Flipkart,2025-07-06,6,1,UPI,1,0,1,0,0.7059,1.0261,15,3,Weekend Claim|Duplicate Claim|Unusually Frequent,1
EXP-00131,E031,Engineering,7463,Hotel,3505.04,8000,Amazon,2025-05-31,5,1,UPI,1,0,0,0,0.4381,0.4697,5,1,Weekend Claim,0
EXP-00132,E032,HR,7618,Entertainment,958.96,4000,MakeMyTrip,2025-04-20,6,1,Cash,1,0,0,0,0.2397,0.1259,1,1,Weekend Claim,0
EXP-00133,E033,HR,6514,Entertainment,1956.51,4000,Amazon,2025-06-06,4,0,Cash,1,0,0,0,0.4891,0.3004,7,0,,0
EXP-00134,E034,Marketing,5561,Travel,9872.81,15000,Flipkart,2025-05-03,5,1,Credit Card,1,0,0,0,0.6582,1.7754,4,1,Weekend Claim,0
EXP-00135,E035,Engineering,5099,Food,700.25,2000,Flipkart,2025-05-14,2,0,UPI,1,0,0,0,0.3501,0.1373,4,0,,0
EXP-00136,E036,Finance,9073,Hotel,6583.1,8000,OYO Rooms,2025-05-18,6,1,Debit Card,1,0,0,0,0.8229,0.7256,10,1,Weekend Claim,1
EXP-00137,E037,Operations,7847,Travel,7106.64,15000,IRCTC,2025-05-07,2,0,Credit Card,1,0,0,0,0.4738,0.9057,5,0,,0
EXP-00138,E038,Finance,7991,Travel,10280.58,15000,Ola,2025-06-24,1,0,Credit Card,1,0,0,0,0.6854,1.2865,2,0,,0
EXP-00139,E039,HR,7056,Travel,3502.9,15000,MakeMyTrip,2025-04-23,2,0,Debit Card,1,0,0,0,0.2335,0.4964,1,0,,0
EXP-00140,E040,Operations,4690,Entertainment,2981.9,4000,IRCTC,2025-05-14,2,0,Credit Card,1,0,0,0,0.7455,0.6358,5,0,,0
EXP-00141,E041,Sales,2502,Travel,4986.79,15000,IRCTC,2025-04-20,6,1,Cash,1,0,0,0,0.3325,1.9931,3,1,Weekend Claim,0
EXP-00142,E042,HR,6488,Entertainment,1015.42,4000,IRCTC,2025-06-17,1,0,Cash,1,0,0,0,0.2539,0.1565,1,0,,0
EXP-00143,E043,Sales,9721,Food,641.07,2000,Ola,2025-05-30,4,0,UPI,1,0,0,0,0.3205,0.0659,2,0,,0
EXP-00144,E044,HR,9742,Fuel,1382.45,3000,Zomato,2025-06-08,6,1,Credit Card,1,0,0,0,0.4608,0.1419,3,1,Weekend Claim,0
EXP-00145,E045,Engineering,2563,Office Supplies,783.14,5000,Dmart,2025-07-13,6,1,Cash,1,0,0,0,0.1566,0.3056,2,1,Weekend Claim,0
EXP-00146,E046,Finance,3757,Entertainment,7521.18,4000,Swiggy,2025-07-06,6,1,Debit Card,1,0,0,1,1.8803,2.0019,14,3,Exceeds Policy Limit|Weekend Claim|Unusually Frequent,1
EXP-00147,E047,Marketing,3678,Hotel,3833.05,8000,Flipkart,2025-05-05,0,0,Cash,1,0,0,0,0.4791,1.0422,6,0,,0
EXP-00148,E048,Finance,8668,Office Supplies,6594.27,5000,Zomato,2025-04-29,1,0,Debit Card,0,1,0,1,1.3189,0.7608,18,4,Exceeds Policy Limit|Missing Receipt|Receipt Mismatch|Unusually Frequent,1
EXP-00149,E049,HR,5314,Office Supplies,1029.06,5000,Uber,2025-07-02,2,0,Debit Card,1,0,0,0,0.2058,0.1937,7,0,,0
EXP-00150,E050,Sales,4729,Food,219.5,2000,Uber,2025-07-09,2,0,Credit Card,1,0,0,0,0.1098,0.0464,1,0,,0
EXP-00151,E001,Finance,2860,Hotel,1536.66,8000,Ola,2025-06-27,4,0,UPI,1,0,0,0,0.1921,0.5373,4,0,,0
EXP-00152,E002,Marketing,5092,Travel,10696.24,15000,Dmart,2025-06-26,3,0,Cash,1,0,0,0,0.7131,2.1006,3,0,,0
EXP-00153,E003,HR,7334,Food,3592.9,2000,Swiggy,2025-07-06,6,1,Debit Card,1,0,1,1,1.7965,0.4899,19,4,Exceeds Policy Limit|Weekend Claim|Duplicate Claim|Unusually Frequent,1
EXP-00154,E004,Marketing,5171,Food,1984.01,2000,Flipkart,2025-04-26,5,1,Debit Card,1,0,1,0,0.992,0.3837,8,2,Weekend Claim|Duplicate Claim,1
EXP-00155,E005,HR,3685,Food,2082.84,2000,Uber,2025-05-19,0,0,Credit Card,0,0,1,0,1.0414,0.5652,9,3,Exceeds Policy Limit|Missing Receipt|Duplicate Claim,1
EXP-00156,E006,Finance,9581,Hotel,5735.5,8000,Zomato,2025-04-22,1,0,Credit Card,1,0,0,0,0.7169,0.5986,2,0,,0
EXP-00157,E007,Finance,8420,Entertainment,601.53,4000,OYO Rooms,2025-06-09,0,0,UPI,1,0,0,0,0.1504,0.0714,1,0,,0
EXP-00158,E008,Sales,6117,Fuel,5659.5,3000,Amazon,2025-06-01,6,1,Cash,0,0,1,1,1.8865,0.9252,16,5,Exceeds Policy Limit|Weekend Claim|Missing Receipt|Duplicate Claim|Unusually Frequent,1
EXP-00159,E009,Engineering,9728,Food,1571.62,2000,Dmart,2025-06-20,4,0,UPI,1,0,0,0,0.7858,0.1616,5,0,,0
EXP-00160,E010,Sales,4047,Food,449.43,2000,Amazon,2025-05-12,0,0,Debit Card,1,0,0,0,0.2247,0.1111,3,0,,0
EXP-00161,E011,Operations,9101,Hotel,2272.09,8000,IRCTC,2025-06-25,2,0,Cash,1,0,0,0,0.284,0.2497,3,0,,0
EXP-00162,E012,HR,3899,Fuel,1917.85,3000,OYO Rooms,2025-06-07,5,1,UPI,1,0,0,0,0.6393,0.4919,3,1,Weekend Claim,0
EXP-00163,E013,Engineering,5202,Entertainment,805.0,4000,Dmart,2025-05-21,2,0,Debit Card,1,0,0,0,0.2013,0.1547,1,0,,0
